metric,mean,std,min,max
acc,0.9198,0.0131,0.901,0.9375
cls_loss,0.2774,0.0506,0.2068,0.3247
f1_macro,0.9047,0.0174,0.8823,0.9298
f1_micro,0.9198,0.0131,0.901,0.9375
f1_weighted,0.9193,0.0129,0.9013,0.9367
kl_loss,0.3337,0.0255,0.294,0.3557
mcc,0.8869,0.0189,0.8589,0.9114
paired_acc,0.92,0.0183,0.9,0.9333
paired_f1_macro,0.8925,0.0289,0.8474,0.9224
paired_f1_micro,0.92,0.0183,0.9,0.9333
paired_f1_weighted,0.9223,0.0182,0.8955,0.9369
paired_mcc,0.8959,0.0222,0.8678,0.9135
total_loss,0.3107,0.0519,0.2362,0.357
unpaired_acc,0.9198,0.0175,0.8951,0.9444
unpaired_f1_macro,0.9058,0.0187,0.8881,0.9351
unpaired_f1_micro,0.9198,0.0175,0.8951,0.9444
unpaired_f1_weighted,0.9193,0.0171,0.8949,0.9432
unpaired_mcc,0.8859,0.0255,0.8489,0.9209
