metric,mean,std,min,max
acc,0.5753,0.075,0.4795,0.6575
auprc,0.6229,0.0431,0.5476,0.6528
auroc,0.6332,0.0598,0.5668,0.7117
cls_loss,2.0376,0.3567,1.6649,2.4982
f1,0.5772,0.0545,0.525,0.6479
kl_loss,0.0872,0.0126,0.0775,0.1085
mcc,0.1512,0.1495,-0.0391,0.3148
paired_acc,0.5944,0.0697,0.5,0.6944
paired_auprc,0.6326,0.0916,0.4881,0.717
paired_auroc,0.6438,0.0884,0.5,0.7377
paired_f1,0.5717,0.0834,0.4375,0.6667
paired_mcc,0.1904,0.1415,0.0,0.3944
total_loss,2.0463,0.3571,1.6727,2.506
unpaired_acc,0.5568,0.1172,0.3784,0.7027
unpaired_auprc,0.6678,0.0527,0.5961,0.7212
unpaired_auroc,0.6246,0.0685,0.5175,0.6725
unpaired_f1,0.5807,0.0851,0.4651,0.7027
unpaired_mcc,0.1146,0.2371,-0.2498,0.4064
